"ID","Year of first issue","Day/month of first issue","Date of last publication","Title","Place of publication","Owners/publishers/editors","Comments","Source","Holdings"
"t2r846","?","","","Al-ʿAṣr","Philadelphia","Naʿūm Mukarzal","later New York?","",""
"t2r847","?","","","Al-Awlād","Cairo","Shāhīn Makāriyūs","","",""
"t2r848","?","","","Al-Bustān","Boston","Salīm Sarkīs","","",""
"t2r849","?","","","Al-Fānūs","","unknown","","",""
"t2r850","?","","","Al-Iqbāl","Saint Lawrence","Salīm Sarkīs","","",""
"t2r851","?","","","Al-Hidāya","Istanbul","Al-Shaykh ʿAbd al-ʿAzīz Çavu","","","BDK, IÜ, AUC?"
"t2r852","?","","","Majlis al-Mabʿūthīn","Istanbul","Luwīs Ṣābūnjī","","",""
"t2r853","?","","","Majallat al-ʿArūs","Egypt","Shāhīn Makāriyūs","","",""
"t2r854","?","","","Al-Nashra al-Tijāriyya","","unknown","","",""
"t2r855","?","","","Nūr al-Sharq","","unknown","","",""
"t2r856","?","","","Qarāqūz","","unknown","","",""
"t2r857","?","","","Al-Riwāyāt al-Muṣawwara","Cairo","Shāhīn Makāriyūs","illustrated","",""
"t2r858","?","","40 issues","Al-Riwāyāt al-Qiṣaṣiyya","Cairo","Ṭāniyūs ʿAbduh","","",""
"t2r859","?","","","Al-Tawārud","","ʿAbd Allāh al-Nadīm (ʿAṭṭār)","","",""
"t2r860","?","","","Al-Yaʿsūb","","unknown","","",""
